Country	Continent	Population	Area	Government	Gold	Silver	Bronze	Total
EGYPT	AFRICA	88487396	1001450	REPUBLIC	0	0	3	3
ALGERIA	AFRICA	39542166	2381741	REPUBLIC	0	2	0	2
ARGENTINA	SOUTH AMERICA	43431886	2780400	PRESIDENTIAL FEDERAL REPUBLIC	3	1	0	4
ARMENIA	ASIA	3056382	29743	REPUBLIC	1	3	0	4
AZERBAIJAN	ASIA	9780780	86600	REPUBLIC	1	7	10	18
ETHIOPIA	AFRICA	99465819	1104300	REPUBLIC	1	2	5	8
AUSTRALIA	OCEANIA	22751014	7741220	PARLIAMENTARY MONARCHY	8	11	10	29
BAHAMAS	NORTH AMERICA	324597	13880	CONSTITUTIONAL MONARCHY	1	0	1	2
BAHRAIN	ASIA	1346613	760	CONSTITUTIONAL MONARCHY	1	1	0	2
BELARUS	EUROPE	9589689	207600	REPUBLIC	1	4	4	9
BELGIUM	EUROPE	11323973	30528	PARLIAMENTARY MONARCHY	2	2	2	6
BRAZIL	SOUTH AMERICA	204259812	8514877	PRESIDENTIAL FEDERAL REPUBLIC	7	6	6	19
BULGARIA	EUROPE	7186893	110879	REPUBLIC	0	1	2	3
BURUNDI	AFRICA	10742276	27830	REPUBLIC	0	1	0	1
CHINA	ASIA	1367485388	9596960	PEOPLE'S REPUBLIC	26	18	26	70
DENMARK	EUROPE	5581503	43094	CONSTITUTIONAL MONARCHY	2	6	7	15
GERMANY	EUROPE	80854408	357022	PARLIAMENTARY FEDERAL REPUBLIC	17	10	15	42
DOMINICAN REPUBLIC	NORTH AMERICA	10478756	48670	REPUBLIC	0	0	1	1
IVORY COAST	AFRICA	23295302	322463	REPUBLIC	1	0	1	2
ESTONIA	EUROPE	1265420	45228	REPUBLIC	0	0	1	1
FIJI	OCEANIA	909389	18274	REPUBLIC	1	0	0	1
FINLAND	EUROPE	5476922	338145	REPUBLIC	0	0	1	1
FRANCE	EUROPE	66553766	643801	REPUBLIC	10	18	14	42
GEORGIA	ASIA	4931226	69700	REPUBLIC	2	1	4	7
GRENADA	NORTH AMERICA	110694	344	CONSTITUTIONAL MONARCHY	0	1	0	1
