Country	Continent	Population	Area	Government	Gold	Silver	Bronze	Total
EGYPT	AFRICA	88487396	1001450	REPUBLIC	3	5	4	12
ALGERIA	AFRICA	39542166	2381741	REPUBLIC	4	5	7	16
ARGENTINA	SOUTH AMERICA	43431886	2780400	PRESIDENTIAL FEDERAL REPUBLIC	1	1	3	5
AZERBAIJAN	ASIA	9780780	86600	REPUBLIC	1	8	2	11
ETHIOPIA	AFRICA	99465819	1104300	REPUBLIC	0	1	0	1
AUSTRALIA	OCEANIA	22751014	7741220	PARLIAMENTARY MONARCHY	22	30	29	81
BAHRAIN	ASIA	1346613	760	CONSTITUTIONAL MONARCHY	1	0	0	1
BELARUS	EUROPE	9589689	207600	REPUBLIC	8	0	2	10
BELGIUM	EUROPE	11323973	30528	PARLIAMENTARY MONARCHY	5	3	3	11
BRAZIL	SOUTH AMERICA	204259812	8514877	PRESIDENTIAL FEDERAL REPUBLIC	14	29	29	72
BULGARIA	EUROPE	7186893	110879	REPUBLIC	1	0	0	1
CHINA	ASIA	1367485388	9596960	PEOPLE'S REPUBLIC	107	81	51	239
DENMARK	EUROPE	5581503	43094	CONSTITUTIONAL MONARCHY	1	2	4	7
GERMANY	EUROPE	80854408	357022	PARLIAMENTARY FEDERAL REPUBLIC	18	25	14	57
FINLAND	EUROPE	5476922	338145	REPUBLIC	1	1	1	3
FRANCE	EUROPE	66553766	643801	REPUBLIC	9	5	14	28
GEORGIA	ASIA	4931226	69700	REPUBLIC	1	0	0	1
GREECE	EUROPE	10775643	131957	REPUBLIC	5	4	4	13
INDIA	ASIA	1251695584	3287263	PARLIAMENTARY FEDERAL REPUBLIC	2	1	1	4
INDONESIA	ASIA	255993674	1904569	REPUBLIC	0	0	1	1
IRAQ	ASIA	37056169	438317	REPUBLIC	2	3	0	5
IRAN	ASIA	81824270	1648195	ISLAMIC REPUBLIC	8	9	7	24
IRELAND	EUROPE	4892305	70273	REPUBLIC	4	4	3	11
ISRAEL	ASIA	8049314	20770	REPUBLIC	0	0	3	3
ITALY	EUROPE	61855120	301340	REPUBLIC	10	14	15	39
JAPAN	ASIA	126919659	377915	CONSTITUTIONAL MONARCHY	0	10	14	24
JORDAN	ASIA	8117564	89342	CONSTITUTIONAL MONARCHY	0	2	1	3
CANADA	NORTH AMERICA	35099836	9984670	PARLIAMENTARY MONARCHY	8	10	11	29
CAPE VERDE	AFRICA	545993	4033	REPUBLIC	0	0	1	1
KAZAKHSTAN	ASIA	18157122	2724900	REPUBLIC	1	1	0	2
QATAR	ASIA	2194817	11586	MONARCHY	0	2	0	2
KENYA	AFRICA	45925301	580367	REPUBLIC	3	1	2	6
COLOMBIA	SOUTH AMERICA	46736728	1138910	REPUBLIC	2	5	10	17
CROATIA	EUROPE	4464844	56594	REPUBLIC	2	2	1	5
CUBA	NORTH AMERICA	11031433	110860	SOCIALIST REPUBLIC	8	1	6	15
KUWAIT	ASIA	2788534	17818	CONSTITUTIONAL MONARCHY	1	0	0	1
LATVIA	EUROPE	1986705	64589	REPUBLIC	2	0	2	4
