,year,country of asylum,country of origin,population type,begin year total,end year total,total movement
3,2015,AFG,IRN,REF,36.0,30.0,-6.0
5,2015,AFG,PAK,REF-like,20156.0,20485.0,329.0
6,2015,AFG,PAK,REF,280229.0,237038.0,-43191.0
11,2015,ALB,CHI,REF,12.0,11.0,-1.0
19,2015,ALB,SRB,REF,64.0,59.0,-5.0
21,2015,ALB,TUN,REF,0.0,0.0,0.0
25,2015,ALG,ANG,REF,0.0,0.0,0.0
29,2015,ALG,CMR,REF,9.0,10.0,1.0
31,2015,ALG,COD,REF,40.0,42.0,2.0
33,2015,ALG,GAZ,REF,4016.0,4016.0,0.0
35,2015,ALG,ICO,REF,23.0,23.0,0.0
36,2015,ALG,IRQ,REF,16.0,21.0,5.0
45,2015,ALG,WSH,REF,90000.0,90000.0,0.0
48,2015,ANG,BDI,REF,8.0,9.0,1.0
49,2015,ANG,CAR,REF,9.0,9.0,0.0
50,2015,ANG,CHD,REF,177.0,184.0,7.0
53,2015,ANG,COD,REF,12944.0,12944.0,0.0
54,2015,ANG,CUB,REF,0.0,0.0,0.0
55,2015,ANG,ERT,REF,19.0,34.0,15.0
58,2015,ANG,GUI,REF,108.0,107.0,-1.0
60,2015,ANG,ICO,REF,513.0,510.0,-3.0
61,2015,ANG,IRQ,REF,0.0,0.0,0.0
62,2015,ANG,LBR,REF,153.0,155.0,2.0
64,2015,ANG,MAU,REF,299.0,306.0,7.0
67,2015,ANG,RWA,REF,257.0,273.0,16.0
68,2015,ANG,SLE,REF,372.0,374.0,2.0
69,2015,ANG,SOM,REF,272.0,288.0,16.0
70,2015,ANG,SUD,REF,300.0,313.0,13.0
73,2015,ANG,UGA,REF,6.0,6.0,0.0
74,2015,ANG,WSH,REF,14.0,18.0,4.0
75,2015,ANG,ZAM,REF,7.0,7.0,0.0
76,2015,ANT,SYR,REF,0.0,15.0,15.0
79,2015,ARE,ANG,REF,0.0,0.0,0.0
81,2015,ARE,BDI,REF,37.0,24.0,-13.0
84,2015,ARE,CHD,REF,40.0,45.0,5.0
88,2015,ARE,COD,REF,45.0,41.0,-4.0
89,2015,ARE,DJB,REF,6.0,5.0,-1.0
90,2015,ARE,ERT,REF,1625.0,1405.0,-220.0
91,2015,ARE,ETH,REF,1138.0,1085.0,-53.0
92,2015,ARE,GAZ,REF,70023.0,70021.0,-2.0
93,2015,ARE,GUI,REF,9.0,9.0,0.0
94,2015,ARE,ICO,REF,298.0,249.0,-49.0
97,2015,ARE,IRQ,REF,5149.0,4347.0,-802.0
98,2015,ARE,JOR,REF,0.0,0.0,0.0
99,2015,ARE,KEN,REF,6.0,7.0,1.0
103,2015,ARE,MLI,REF,8.0,9.0,1.0
104,2015,ARE,MOR,REF,0.0,0.0,0.0
