year,country of asylum,country of origin,population type,begin year total,end year total
2015,ABW,COL,REF,0,*
2015,ABW,CUB,REF,,*
2015,AFG,GAZ,REF,*,0
2015,AFG,IRN,REF,36,30
2015,AFG,IRQ,REF,*,*
2015,AFG,PAK,REF-like,20156,20485
2015,AFG,PAK,REF,280229,237038
2015,AIA,SYR,REF,,*
2015,ALB,AFG,REF,,0
2015,ALB,ALG,REF,,0
2015,ALB,ARE,REF,*,*
2015,ALB,CHI,REF,12,11
2015,ALB,COD,REF,*,0
2015,ALB,GAZ,REF,*,*
2015,ALB,IRN,REF,,9
2015,ALB,IRQ,REF,*,*
2015,ALB,MNE,REF,*,*
2015,ALB,PER,REF,*,*
2015,ALB,RUS,REF,,*
2015,ALB,SRB,REF,64,59
2015,ALB,SYR,REF,*,*
2015,ALB,TUN,REF,0,0
2015,ALB,TUR,REF,*,*
2015,ALB,UZB,REF,*,*
2015,ALG,AFG,REF,*,*
2015,ALG,ANG,REF,0,0
2015,ALG,BDI,REF,*,*
2015,ALG,CAR,REF,*,20
2015,ALG,CHD,REF,*,*
2015,ALG,CMR,REF,9,10
2015,ALG,COB,REF,*,*
2015,ALG,COD,REF,40,42
2015,ALG,ERT,REF,*,0
2015,ALG,GAZ,REF,4016,4016
2015,ALG,GUI,REF,*,*
2015,ALG,ICO,REF,23,23
2015,ALG,IRQ,REF,16,21
2015,ALG,LBR,REF,*,*
2015,ALG,LBY,REF,,13
2015,ALG,MAU,REF,*,0
2015,ALG,MLI,REF,*,16
2015,ALG,NIG,REF,*,*
2015,ALG,SOM,REF,*,*
2015,ALG,SUD,REF,*,*
2015,ALG,TOG,REF,*,*
2015,ALG,WSH,REF,90000,90000
2015,ALG,YEM,REF,*,*
2015,ANG,ALG,REF,*,*
2015,ANG,BDI,REF,8,9
2015,ANG,CAR,REF,9,9
2015,ANG,CHD,REF,177,184
2015,ANG,CMR,REF,*,*
2015,ANG,COB,REF,*,*
2015,ANG,COD,REF,12944,12944
2015,ANG,CUB,REF,0,0
2015,ANG,ERT,REF,19,34
2015,ANG,ETH,REF,,*
2015,ANG,GNB,REF,*,*
2015,ANG,GUI,REF,108,107
2015,ANG,HAI,REF,*,*
2015,ANG,ICO,REF,513,510
2015,ANG,IRQ,REF,0,0
2015,ANG,LBR,REF,153,155
2015,ANG,LBY,REF,*,*
2015,ANG,MAU,REF,299,306
2015,ANG,MLI,REF,*,*
2015,ANG,RSA,REF,*,*
2015,ANG,RWA,REF,257,273
2015,ANG,SLE,REF,372,374
2015,ANG,SOM,REF,272,288
2015,ANG,SUD,REF,300,313
2015,ANG,TAN,REF,*,*
2015,ANG,TOG,REF,,*
2015,ANG,UGA,REF,6,6
2015,ANG,WSH,REF,14,18
2015,ANG,ZAM,REF,7,7
2015,ANT,SYR,REF,0,15
2015,ARE,AFG,REF,*,*
2015,ARE,ALG,REF,*,0
2015,ARE,ANG,REF,0,0
2015,ARE,AZE,REF,*,0
2015,ARE,BDI,REF,37,24
2015,ARE,BEN,REF,,*
2015,ARE,CAR,REF,*,*
2015,ARE,CHD,REF,40,45
2015,ARE,CHI,REF,*,*
2015,ARE,CMR,REF,*,*
2015,ARE,COB,REF,5,*
2015,ARE,COD,REF,45,41
2015,ARE,DJB,REF,6,5
2015,ARE,ERT,REF,1625,1405
2015,ARE,ETH,REF,1138,1085
2015,ARE,GAZ,REF,70023,70021
